+----------+-----------+----------+
| Storm ID |    Name   | Distance |
+----------+-----------+----------+
| AL011851 |  UNNAMED  |  386.94  |
| AL021851 |  UNNAMED  |   0.0    |
| AL031851 |  UNNAMED  |   0.0    |
| AL041851 |  UNNAMED  | 4429.74  |
| AL051851 |  UNNAMED  |   0.0    |
| AL061851 |  UNNAMED  |  880.26  |
| AL011852 |  UNNAMED  | 2688.67  |
| AL021852 |  UNNAMED  |  508.24  |
| AL031852 |  UNNAMED  | 1117.44  |
| AL041852 |  UNNAMED  | 1807.15  |
| AL051852 |  UNNAMED  |  2434.9  |
| AL011853 |  UNNAMED  |   0.0    |
| AL021853 |  UNNAMED  |   0.0    |
| AL031853 |  UNNAMED  | 5281.72  |
| AL041853 |  UNNAMED  | 1304.72  |
| AL051853 |  UNNAMED  |   0.0    |
| AL061853 |  UNNAMED  | 1131.44  |
| AL071853 |  UNNAMED  |   0.0    |
| AL081853 |  UNNAMED  |  400.94  |
| AL011854 |  UNNAMED  |  585.2   |
| AL021854 |  UNNAMED  |   0.0    |
| AL031854 |  UNNAMED  | 2187.18  |
| AL041854 |  UNNAMED  |  236.05  |
| AL051854 |  UNNAMED  |  800.62  |
| AL011855 |  UNNAMED  |   0.0    |
| AL021855 |  UNNAMED  |  926.7   |
| AL031855 |  UNNAMED  |   0.0    |
| AL041855 |  UNNAMED  | 1151.79  |
| AL051855 |  UNNAMED  |  390.02  |
| AL011856 |  UNNAMED  |  620.43  |
| AL021856 |  UNNAMED  |  558.43  |
| AL031856 |  UNNAMED  |  789.0   |
| AL041856 |  UNNAMED  |   0.0    |
| AL051856 |  UNNAMED  | 3081.89  |
| AL061856 |  UNNAMED  |  363.2   |
| AL011857 |  UNNAMED  |  441.72  |
| AL021857 |  UNNAMED  | 2940.31  |
| AL031857 |  UNNAMED  |   0.0    |
| AL041857 |  UNNAMED  | 2675.35  |
| AL011858 |  UNNAMED  |   0.0    |
| AL021858 |  UNNAMED  |   0.0    |
| AL031858 |  UNNAMED  | 1741.82  |
| AL041858 |  UNNAMED  |  2714.7  |
| AL051858 |  UNNAMED  |  886.66  |
| AL061858 |  UNNAMED  | 1580.13  |
| AL011859 |  UNNAMED  |   0.0    |
| AL021859 |  UNNAMED  |  542.73  |
| AL031859 |  UNNAMED  |  328.12  |
| AL041859 |  UNNAMED  | 1043.76  |
| AL051859 |  UNNAMED  | 1914.49  |
| AL061859 |  UNNAMED  | 1801.95  |
| AL071859 |  UNNAMED  |  388.96  |
| AL081859 |  UNNAMED  | 1797.61  |
| AL011860 |  UNNAMED  | 1403.63  |
| AL021860 |  UNNAMED  |  963.19  |
| AL041860 |  UNNAMED  |  720.9   |
| AL031860 |  UNNAMED  |   0.0    |
| AL051860 |  UNNAMED  | 1120.83  |
| AL061860 |  UNNAMED  |  774.5   |
| AL071860 |  UNNAMED  | 1336.18  |
| AL011861 |  UNNAMED  |  1612.7  |
| AL021861 |  UNNAMED  |  961.86  |
| AL031861 |  UNNAMED  | 1626.62  |
| AL041861 |  UNNAMED  |   0.0    |
| AL051861 |  UNNAMED  | 1154.65  |
| AL061861 |  UNNAMED  | 1380.27  |
| AL071861 |  UNNAMED  |   0.0    |
| AL081861 |  UNNAMED  | 1259.65  |
| AL011862 |  UNNAMED  |  346.82  |
| AL021862 |  UNNAMED  | 1353.22  |
| AL031862 |  UNNAMED  | 2262.81  |
| AL041862 |  UNNAMED  |   0.0    |
| AL051862 |  UNNAMED  |  929.09  |
| AL061862 |  UNNAMED  |  29.55   |
| AL011863 |  UNNAMED  |  353.72  |
| AL021863 |  UNNAMED  |  535.26  |
| AL031863 |  UNNAMED  | 1513.66  |
| AL041863 |  UNNAMED  |  657.7   |
| AL051863 |  UNNAMED  | 2610.79  |
| AL061863 |  UNNAMED  | 1090.07  |
| AL071863 |  UNNAMED  |  121.78  |
| AL081863 |  UNNAMED  |  378.32  |
| AL091863 |  UNNAMED  |  356.69  |
| AL011864 |  UNNAMED  | 1754.92  |
| AL021864 |  UNNAMED  |   0.0    |
| AL031864 |  UNNAMED  |  2126.6  |
| AL041864 |  UNNAMED  |   0.0    |
| AL051864 |  UNNAMED  | 1070.84  |
| AL011865 |  UNNAMED  |   0.0    |
| AL021865 |  UNNAMED  |   0.0    |
| AL031865 |  UNNAMED  |  712.42  |
| AL041865 |  UNNAMED  |  2709.9  |
| AL051865 |  UNNAMED  |   0.0    |
| AL061865 |  UNNAMED  |   0.0    |
| AL071865 |  UNNAMED  | 2157.37  |
| AL011866 |  UNNAMED  |  554.63  |
| AL021866 |  UNNAMED  |  2205.2  |
| AL031866 |  UNNAMED  | 1190.21  |
| AL041866 |  UNNAMED  |   0.0    |
| AL051866 |  UNNAMED  |  852.76  |
| AL061866 |  UNNAMED  |  4383.6  |
| AL071866 |  UNNAMED  |  910.79  |
| AL011867 |  UNNAMED  |  367.38  |
| AL021867 |  UNNAMED  | 2779.62  |
| AL031867 |  UNNAMED  |   0.0    |
| AL041867 |  UNNAMED  |  945.27  |
| AL051867 |  UNNAMED  |   0.0    |
| AL061867 |  UNNAMED  |  517.25  |
| AL071867 |  UNNAMED  | 1569.76  |
| AL081867 |  UNNAMED  |   0.0    |
| AL091867 |  UNNAMED  | 1314.82  |
| AL011868 |  UNNAMED  | 1484.14  |
| AL021868 |  UNNAMED  | 2266.74  |
| AL031868 |  UNNAMED  |  358.71  |
| AL041868 |  UNNAMED  |  741.05  |
| AL011869 |  UNNAMED  |  212.12  |
| AL021869 |  UNNAMED  |  392.22  |
| AL031869 |  UNNAMED  |  165.72  |
