+----------+-----------+-----------+-----------+
| Storm ID |    Name   | Max Speed | Avg Speed |
+----------+-----------+-----------+-----------+
| AL011851 |  UNNAMED  |    6.26   |    5.37   |
| AL021851 |  UNNAMED  |     0     |    0.0    |
| AL031851 |  UNNAMED  |     0     |    0.0    |
| AL041851 |  UNNAMED  |   30.07   |   15.71   |
| AL051851 |  UNNAMED  |     0     |    0.0    |
| AL061851 |  UNNAMED  |   18.05   |    9.78   |
| AL011852 |  UNNAMED  |    19.5   |   10.18   |
| AL021852 |  UNNAMED  |   16.65   |    12.1   |
| AL031852 |  UNNAMED  |   32.17   |    9.8    |
| AL041852 |  UNNAMED  |   16.41   |    8.61   |
| AL051852 |  UNNAMED  |   37.75   |   17.64   |
| AL011853 |  UNNAMED  |     0     |    0.0    |
| AL021853 |  UNNAMED  |     0     |    0.0    |
| AL031853 |  UNNAMED  |   37.09   |   18.73   |
| AL041853 |  UNNAMED  |   24.96   |   19.77   |
| AL051853 |  UNNAMED  |     0     |    0.0    |
| AL061853 |  UNNAMED  |   23.51   |    8.98   |
| AL071853 |  UNNAMED  |     0     |    0.0    |
| AL081853 |  UNNAMED  |    8.61   |    5.14   |
| AL011854 |  UNNAMED  |   14.66   |    9.75   |
| AL021854 |  UNNAMED  |     0     |    0.0    |
| AL031854 |  UNNAMED  |   30.76   |   15.85   |
| AL041854 |  UNNAMED  |    5.63   |    4.37   |
| AL051854 |  UNNAMED  |   20.39   |   12.13   |
| AL011855 |  UNNAMED  |     0     |    0.0    |
| AL021855 |  UNNAMED  |   36.23   |   30.89   |
| AL031855 |  UNNAMED  |     0     |    0.0    |
| AL041855 |  UNNAMED  |   17.14   |    12.8   |
| AL051855 |  UNNAMED  |   10.84   |    7.22   |
| AL011856 |  UNNAMED  |   13.96   |    7.95   |
| AL021856 |  UNNAMED  |   16.66   |    13.3   |
| AL031856 |  UNNAMED  |   19.06   |   13.15   |
| AL041856 |  UNNAMED  |     0     |    0.0    |
| AL051856 |  UNNAMED  |   29.17   |   13.17   |
| AL061856 |  UNNAMED  |   10.81   |    3.19   |
| AL011857 |  UNNAMED  |   13.15   |   10.52   |
| AL021857 |  UNNAMED  |   29.86   |   10.65   |
| AL031857 |  UNNAMED  |     0     |    0.0    |
| AL041857 |  UNNAMED  |   21.48   |   16.51   |
| AL011858 |  UNNAMED  |     0     |    0.0    |
| AL021858 |  UNNAMED  |     0     |    0.0    |
| AL031858 |  UNNAMED  |   49.36   |   22.33   |
| AL041858 |  UNNAMED  |   21.63   |    14.6   |
| AL051858 |  UNNAMED  |   17.95   |   11.37   |
| AL061858 |  UNNAMED  |   18.62   |   12.54   |
| AL011859 |  UNNAMED  |     0     |    0.0    |
