+----------+----------+-----------+----------+
|   Date   | Storm ID |    Name   | Distance |
+----------+----------+-----------+----------+
| 18510625 |   AL01   |  UNNAMED  |  386.94  |
| 18510705 |   AL02   |  UNNAMED  |   0.0    |
| 18510710 |   AL03   |  UNNAMED  |   0.0    |
| 18510816 |   AL04   |  UNNAMED  | 4429.74  |
| 18510913 |   AL05   |  UNNAMED  |   0.0    |
| 18511016 |   AL06   |  UNNAMED  |  880.26  |
| 18520819 |   AL01   |  UNNAMED  | 2688.67  |
| 18520905 |   AL02   |  UNNAMED  |  508.24  |
| 18520909 |   AL03   |  UNNAMED  | 1117.44  |
| 18520922 |   AL04   |  UNNAMED  | 1807.15  |
| 18521006 |   AL05   |  UNNAMED  |  2434.9  |
| 18530805 |   AL01   |  UNNAMED  |   0.0    |
| 18530810 |   AL02   |  UNNAMED  |   0.0    |
| 18530830 |   AL03   |  UNNAMED  | 5281.72  |
| 18530908 |   AL04   |  UNNAMED  | 1304.72  |
| 18530921 |   AL05   |  UNNAMED  |   0.0    |
| 18530926 |   AL06   |  UNNAMED  | 1131.44  |
| 18530928 |   AL07   |  UNNAMED  |   0.0    |
| 18531019 |   AL08   |  UNNAMED  |  400.94  |
| 18540625 |   AL01   |  UNNAMED  |  585.2   |
| 18540823 |   AL02   |  UNNAMED  |   0.0    |
| 18540907 |   AL03   |  UNNAMED  | 2187.18  |
| 18540918 |   AL04   |  UNNAMED  |  236.05  |
| 18541020 |   AL05   |  UNNAMED  |  800.62  |
| 18550806 |   AL01   |  UNNAMED  |   0.0    |
| 18550810 |   AL02   |  UNNAMED  |  926.7   |
| 18550811 |   AL03   |  UNNAMED  |   0.0    |
| 18550824 |   AL04   |  UNNAMED  | 1151.79  |
| 18550915 |   AL05   |  UNNAMED  |  390.02  |
| 18560809 |   AL01   |  UNNAMED  |  620.43  |
| 18560813 |   AL02   |  UNNAMED  |  558.43  |
| 18560819 |   AL03   |  UNNAMED  |  789.0   |
| 18560821 |   AL04   |  UNNAMED  |   0.0    |
| 18560825 |   AL05   |  UNNAMED  | 3081.89  |
| 18560918 |   AL06   |  UNNAMED  |  363.2   |
| 18570630 |   AL01   |  UNNAMED  |  441.72  |
| 18570906 |   AL02   |  UNNAMED  | 2940.31  |
| 18570922 |   AL03   |  UNNAMED  |   0.0    |
| 18570924 |   AL04   |  UNNAMED  | 2675.35  |
| 18580612 |   AL01   |  UNNAMED  |   0.0    |
| 18580805 |   AL02   |  UNNAMED  |   0.0    |
| 18580914 |   AL03   |  UNNAMED  | 1741.82  |
| 18580917 |   AL04   |  UNNAMED  |  2714.7  |
| 18580922 |   AL05   |  UNNAMED  |  886.66  |
| 18581021 |   AL06   |  UNNAMED  | 1580.13  |
| 18590701 |   AL01   |  UNNAMED  |   0.0    |
| 18590817 |   AL02   |  UNNAMED  |  542.73  |
| 18590902 |   AL03   |  UNNAMED  |  328.12  |
| 18590912 |   AL04   |  UNNAMED  | 1043.76  |
| 18590915 |   AL05   |  UNNAMED  | 1914.49  |
| 18591002 |   AL06   |  UNNAMED  | 1801.95  |
| 18591016 |   AL07   |  UNNAMED  |  388.96  |
| 18591024 |   AL08   |  UNNAMED  | 1797.61  |
| 18600808 |   AL01   |  UNNAMED  | 1403.63  |
| 18600824 |   AL02   |  UNNAMED  |  963.19  |
| 18600911 |   AL04   |  UNNAMED  |  720.9   |
| 18600911 |   AL03   |  UNNAMED  |   0.0    |
| 18600918 |   AL05   |  UNNAMED  | 1120.83  |
| 18600930 |   AL06   |  UNNAMED  |  774.5   |
| 18601020 |   AL07   |  UNNAMED  | 1336.18  |
| 18610706 |   AL01   |  UNNAMED  |  1612.7  |
| 18610813 |   AL02   |  UNNAMED  |  961.86  |
| 18610825 |   AL03   |  UNNAMED  | 1626.62  |
| 18610917 |   AL04   |  UNNAMED  |   0.0    |
| 18610927 |   AL05   |  UNNAMED  | 1154.65  |
| 18611006 |   AL06   |  UNNAMED  | 1380.27  |
| 18611007 |   AL07   |  UNNAMED  |   0.0    |
